A			Unua litero de la esperanta kaj de aliaj alfabetoj.						
A			Finiĝo de la adjektivoj	bela	mia	unua	ĉiama		
A			Komenco	De A ĝis Z = de la komenco ĝis la fino					
Abato			Ĉefo de monaĥejo						
Abatino			Ĉefino de monaĥinejo						
Abdiki			Forlasi tronon kaj ĉiujn rajtojn al ĝi						
Abdiko			Ago de tiu, kiu abdikas						
Abelo	Zoologio	Apis mellifica	La konata insekto produktanta mielon kaj vakson	Laborema kiel abelo					
Abelejo			Domo de abeloj						
Aberacio	Astronomio		Diferenco inter la ŝajna kaj vera situacio de astro						
Aberacio	Optiko		Disperso de la lumo	aberacio sfera	aberacio kromata				
Abio	Botanio	Pinus abies	Pinglarbo; ĝia ligno estas uzata de l'ĉarpentistoj, lignaĵistoj						
Abismo			Loko profunda kaj abrupta	monta abismo					
Abismo			Senfundaĵo, profundegaĵo, io tre profunda	abismo de l'oceano					
Abismo	Figurativa senco, esprimo			Esti sur la bordo de abismo = esti en granda danĝero					
Ablativo			Kazo de la deklinacio en la sanskrita, latina, slavaj lingvoj; ĝi esprimas instrumenton, devenon, k. t. p.; esperante ĝi estas tradukata plej ofte per la prepozicioj per kaj de						
Abnegacio			Forlaso de komfortaĵoj kaj ĝuoj, precipe por la bono de aliaj	La abnegacio, t. e. la forgeso pri si mem kaj sinofero, estas virto malofta					
Abomeno			Sento, kiun kaŭzas tre malagrablaj, fizikaj ecoj de objekto (ekz. : odoro de putranta viando); malinklino.						
Abomena			Kaŭzanta abomenon	abomena odoro	abomena vizaĝo	abomena ago			
Abomena	Komparu			Antipatio					
Aboni			Mendi por difinita tempo kaj antaŭe pagi gazetojn, biletojn por spektakloj, k. t. p.	Li abonas ĉiujn esperantajn gazetojn	Abonu du loĝiojn por la itala opero				
Abono			Mendo por difinita tempo kaj antaŭa pago por gazetoj, spektakloj, k. t. p.						
Abono			Tempo, por kiu estas farita la abono	Via abono finiĝas post du monatoj					
Abonanto			Persono, kiu abonas	Nia revuo havas 10,000 abonantojn					
Aborti			Akuŝi antaŭtempe ne vivpovan idon						
Aborto			Antaŭtempa akuŝo de ne vivpova ido						
Abortiga			Kaŭzanta aborton	abortiga medikamento					
Abrikoto	Botanio		Frukto de l'abrikotujo						
Abrikotujo		Prunus armeniaca	Arbo el la familio de l'amigdalacoj						
Abrotano	Botanio	Artemisia abrotanum	Vegetaĵo el la familio de l'kompozitoj, uzata kiel spicaĵo, en la medicino						
Abrupta			Tre kruta, kvazaŭ forŝirita, kvazaŭ fortranĉita	abrupta bordo					
Abrupteco			Eco de tio, kio estas abrupta						
Abrupta	Komparu			Dekliva	kruta				
Absceso			Amaso de puso en histoj						
Absceso	Komparu			Ulcero	vundo				
Absinto			Forta maldolĉa brando de verda koloro, preparata el la samnoma vegetaĵo	La absinto kaŭzas nervajn malsanojn					
Absoluta			Tute sendependa de iu ajn povo aŭ kontrolo, sole ordonanta kaj leĝdonanta	La rusaj caroj estas absolutaj monarĥoj	Via tono, sinjoro, estas tro absoluta!				
Absoluta			Senmiksa, ĥemie pura	absoluta alkoholo					
Absoluta			Ne relativa	absoluta vero					
Absoluteco			Eco de tio, kio estas absoluta						
Absolutismo			Absoluta maniero de regado, de agado						
Absolvi			Pardoni la pekojn	Post la konfeso la pastro absolvas la pentantan pekulon					
Absovo			Pardono de l' pekoj						
Absorbi			Tute okupi la pensojn, la atenton	La laboro tiel absorbis lin, ke li forgesis pri la tagmanĝo					
Abstinenco			Sindetenemo, pro principo, de la uzado de l' tabako, alkoholaĵoj, amaj ĝuoj						
Abstinenculo			Persono, kiu sin detenas, pro principo, de la uzado de la tabako, alkoholaĵoj, amaj ĝuoj						
Abstrakta			Kio ne estas perceptebla de la sentoj	La substantivoj povas esti dividataj en du grupoj: abstraktaj, ekz. bono, penso, ideo; kaj konkretaj: ekz. tablo, hundo 					
Abstraktaĵo			Io abstrakta						
Abstrakteco			Eco de tio, kio estas abstrakta						
Absurda			Plene sensenca	Absurda estas la supozo pri la ekzisto de eliksiro de l' juneco					
Absurdo			Io absurda	Kia absurdo!					
Absurdeco			Eco de tio, kio estas absurda						
Abunda			Havanta grandan kvanton, bone provizita, pli ol sufiĉa	abunda rikolto	abunda programo				
Abundeco			Eco de tio, kio estas abunda	abundeco de fiŝoj en lago					
Acero	Botanio	Acer	Arbo el la samnoma familio; ĝia ligno estas uzata en multaj metioj						
Acetato			Salo de la vinagra acido						
Acetileno	Ĥemio	C2H2	Bruligebla gaso, kiun oni produktas el kalcikarbido agante je ĝi per akvo						
Acida			Havanta akran guston, kiel tiu de la vinagro	acida frukto					
Acido			Io acida						
Acido	Ĥemio		Kombinaĵo de la hidrogeno kun metalo, ruĝiganta la bluan lakmuson						
Acideco			Eco de tio, kio estas acida						
Aĉeti			Akiri ion, pagante por ĝi monon	aĉeti kare	aĉeti malkare				
Aĉeto			Ago de tiu, kiu aĉetas						
Aĉetanto			Persono, kiu aĉetas						
Aĉetebla			Kiu povas esti aĉetita	En la nuna tempo ĉio kaj ĉiu estas aĉetebla					
Aĉetisto			Persono, kies profesio estas aĉeti						
- Ad			Sufikso, esprimanta agon ripetitan aŭ longedaŭran	pafado	restado				
Adapti			Konformigi por speciala celo, por specialaj kondiĉoj	adapti la rimedojn al la celo	adapti versaĵon por kanto				
Adapto			Ago de tiu, kiu adaptas						
Adapti	Komparu			Apliki	uzi				
Adepto			Partiano de doktrino, de sekto	adepto de la epikurismo					
Adepto			Persono, konanta arton, sciencon kaj sin okupanta per ili	adepto de la pentrarto					
Adiaŭ			Esprimo de la ĝentileco, kiam oni foriras, disiĝas	Adiaŭ kara amiko, ĝis revido en la plej proksima kongreso!					
Adiaŭa			Kiu adiaŭas, de adiaŭo	adiaŭa vorto	adiaŭa kunveno				
Adicio			Aritmetika operacio, per kiu oni aldonas unu nombron al alia, t. e. tiom da unuoj, kiom ambaŭ kune						
Adicii			Fari la adicion	adicii unu nombron al alia					
Adjektivo			Vorto aldonata al substantivo por montri ĝian econ	bona knabo					
Adjektiva			De adjektivo; simila al adjektivo, havanta karakteron de adjektivo	adjektiva fleksio	adjektiva esprimo				
Adjunkto			Helpanto de supera oficisto						
Adjutanto			Oficero, konstante akompananta sian ĉefon kaj komunikanta liajn ordonojn al la subuloj						
Administri			Konduki aferojn privatajn aŭ publikajn por persona kunlaboro	administri bienon	administri domon	administri kompanion			
Administranto			Persono, kiu administras						
Administranto	Komparu			Direkti	regi				
Administracio			Administrantaro						
Admiri			Rigardi kun miro kunigita kun aprobo, estimo, alta ŝato	admiri heroon	admiri kuraĝon				
Admiro			Sento de tiu, kiu admiras						
Admirinda			Meritanta admiron	admirinda modesteco					
Admiralo			Ĉefo de milita ŝiparo						
Admiralitato			Estraro de ŝiparo kaj ĝia oficejo						
Admoni			Instigi per vortoj al la plenumo de devo	La patrino admonis la filon al la diligenteco					
Admono			Vortoj de tiu, kiu admonas						
Adopti			Kun formala akto preni en sian familion kiel sian propran infanon; filigi, filinigi	adopti orfon					
Adopto			Ago de tiu, kiu adoptas						
Adori			Respekti kaj ami kiel Dion						
Adori			Forte ami, alte ŝati	adori sian edzinon	adori la poezion				
Adoro			Sento de tiu, kiu adoras						
Adoranto			Persono, kiu adoras	kantistino, aplaŭdata de la adorantoj					
Adreso			Precize difinita loĝloko de persono (lando, urbo, strato, domo)	La adreso de doktoro Zamenhof estas: Varsovio, str. Dzika no 9.					
Adreso			Surskribo sur letero, sur pakaĵo, enhavanta la nomon kaj la loĝlokon de la persono, al kiu ĝi estas sendata	La adreso devas esti ĉiam esti skribita tre legeble					
Adresi			Skribi adreson sur letero, sur pakaĵo						
Adresanto			Persono, kiu sendas leteron						
Adresato			Persono, al kiu oni sendas leteron	Sur la koverto oni skribas ne sole la nomon de l' adresato, sed ankaŭ tiun de la adresanto, por ke la poŝto povu resendi al li la leteron en okazo de bezono					
Adulti			Rompi la geedzan fidelecon por seksa rilato kun alia persono						
Adulto			Ago de tiu, kiu adultas						
Advento			Kvarsemajna fasto antaŭ la Kristnasko						
Adverbo			Neŝanĝebla vorto, esprimanta manieron, lokon aŭ tempon	bone	hejme	vespere			
Adverba			Havanta karakteron, strukturon de adverbo	'Kun ĝojo' estas adverba esprimo					
Advokato			Juristo, kies specialo estas defendi akuzatojn en juĝejo						
Advokato			Defendanto per vortoj	Estu mia advokato antaŭ mia edzino					
Aero			Gaso, kiun ni spiras, konsistanta el azoto kaj oksigeno						
Aera			El aero	aera veziketo					
Aera			Okazanta, vivanta en la aero	aera fenomeno	aera vegetaĵo				
Aerumi			Refreŝiĝi, forigi malbonodoron, tralasante aeron	aerumi litaĵon	aerumi ĉambron				
Aerumi	Komparu			Ventoli					
Aerolito			Ŝtono, falanta de la kosma spaco sur la supraĵon de la tero						
Aerometro			Instrumento por mezuri la densecon de la gasoj						
Aeronaŭto			Aerveturanto						
Aerostato			Aparato, plenigita per gaso, pli malpeza ol la aero kaj servanta por sin levi en la aeron						
Afabla			Kondutanta amike kun aliaj, penanta esti agrabla al aliaj	afabla homo	afabla vorto				
Afableco			Eco de tiu, kiu estas afabla						
Afablaĵo			Afabla ago, vorto						
Malafabla			Kondutanta neamike kun aliaj, tute ne zorganta esti agrabla al aliaj						
Afabla	Komparu			Ĝentila	kompleza				
Afekcio			Forta emocio, perdo de la egalpezo de la animo sub la influo de fortaj kaj netanditaj impresoj	malespero	ravo				
Afekti			Ŝajnigi sin per nenaturaj manieroj	afekti modestecon					
Afekto			Ŝajnigo per nenaturaj manieroj						
Afektema			Havanta la kutimon afekti						
Afero			Ĉio, kio estas en la mondo reala kaj abstrakta	Dum vojaĝo oni vidas multajn interesajn aferojn					
Afero			Ĉio, kio estas objekto de okupo, kio estas aŭ devas esti plenumita	komerca afero	juĝa afero				
Afero	Komparu			Objekto					
Afikso			Partikulo, almetata antaŭ aŭ post la radiko, por formi novan vorton kun alia signifo	prefikso	sufikso				
Afiŝo			Presita anonco pri publika spektaklo						
Afiŝi			Anonci per afiŝo						
Afiŝo	Komparu			Avizo	prospekto	reklamo			
Aforismo			Penso, principo, koncize esprimita, ĉerpita el verko de fama aŭtoro						
Aforismo	Komparu			Devizo	maksimo	moto	proverbo	sentenco	
Afranki			Pagi la poŝtajn spezojn, algluante la necesan kvanton da poŝtmarkoj	La adresanto pagas punon por neafrankita letero					
Afto	Medicino		Ŝimaj ulceroj en la buŝo de suĉinfanoj						
Afusto			Veturilo de kanono						
Agi			Uzi siajn fizikajn aŭ spiritajn fortojn	Ne ploru, sed agu					
Ago			Uzo de siaj fizikaj aŭ spiritaj fortoj	Malpli da vortoj, pli da agoj!					
Ago	Komparu			Fari	konduti	procedi			
Agaco			Malagrabla sento en la dentoj, kiun kaŭzas fortaj acidoj, acidaj fruktoj						
Agapo			Festeno de la primitivaj kristanoj post la komunio						
Agariko	Botanio	Agaricas campestris	Speco de manĝebla fungo						
Agato			Duone diafana speco de kvarco de vivaj variaj koloroj						
Agendo			Notlibro por tuta jaro kun aparta paĝo por ĉiu tago						
Agento			Peranto por plenumi aferojn de aliaj personoj	borsa agento					
Agiti			Instigi aliajn al agado por celoj, havantaj publikan gravecon	agiti antaŭ elektoj					
Agito			Ago de tiu, kiu agitas						
Agitanto			Persono, kiu agitas						
Agiti	Komparu			Propagandi					
Aglo	Zoologio	Aquilla	Raba birdo el la familio de l'falkoj. La reĝo de la birdoj.	La nigra aglo = la aglo de la prusaj standardoj	Li ne estas aglo = li ne estas persono de alta inteligenteco	Agla nazo = nazo kurbigita, kiel la beko de la aglo			
Aglomeri			Kunigi ne samspecajn, ne unuformajn objektojn en tuton						
Aglomeraĵo			Objekto, konsistanta el kunigitaj ne unuspecaj, ne unuformaj partoj						
Aglomeraĵo			Kungluaĵo, konsistanta el nature kunigitaj diversaj mineraloj						
Aglomerato			Aglomeraĵo						
Aglutini	Medicino		Kunglui	aglutini la randojn de vundo	aglutini leŭkocitojn				
Agonio			Batalo de la mortanto kontraŭ la morto; la lastaj suferoj de la mortanto						
Agonii			Esti en la stato de l' agonio						
Agonianto			Persono, kiu agonias						
Agordi			Konformigi reciproke la kordojn de instrumento, unu instrumenton al alia						
Agordo			Reciproka, konformigo de l' kordoj de instrumento, de unu instrumento al alia						
Agrabla			Kiun oni volonte vidas, aŭskultas, k. t. p.	agrabla persono	agrabla vizaĝo	agrabla voĉo			
Malagrabla			Kiun oni ne volonte vidas, aŭskultas, k. t. p.						
Agrafo			Metala hoketo kun ringeto, kiu servas por kunigi du randojn de vesto						
Agrafi			Kunigi per agrafo						
Agrafo	Komparu			Broĉo	buko	pinglo			
Agregato	Filozofio		Io formita per kuniĝo de unuspecaj objektoj	agregato de molekuloj					
Agrikulturo			Kulturado de la tero						
Agronomio			Scienco, arto kulturi la teron						
Agronomo			Persono, kiu konas la agronomion, kiu sin okupas per la agronomio						
Aĝo			Tempo, pasinta de la naskiĝo	Kian aĝon li havas? Li estas kvardekjara					
Aĝa			Havanta aĝon	Li estas pli aĝa, ol lia fratino					
Plenaĝa			Havanta la aĝon, en kiu oni posedas ĉiujn personajn rajtojn	En tre multaj landoj oni fariĝas plenaĝa post la dudekunua jaro de la vivo					
Aĝio			Diferenco inter la nominala kaj efektiva (laŭkursa) valoro de la mono						
Aĝioto			Spekulacio en la borso per publikaj paperoj						
Aĝioti			Sin okupi per la aĝioto						
Aĝiotisto			Persono, kiu profesie aĝiotas						
Ajlo	Botanio	Allium sativum	Bulba vegetaĵo kun forta odoro, uzata kiel spicaĵo						
Ajn			Ĝeneraliga sendifina partikulo, aldonata al pronomoj, adverboj kaj konjunkcioj	kiu ajn	kiel ajn	kiam ajn			
- Aĵ			Sufikso por derivi nomon de objekto, afero, farita el tio, devenanta de tio, kion esprimas la radiko; por esprimi ion konkretan	porkaĵo = porka viando	amikaĵo = amika ago				
Aĵo			Afero, objekto						
Akacio	Botanio	Acacia	Arbo el la familio de l'mimozacoj						
Akademio			Supera lernejo, universitato						
Akademio			Societo de scienculoj, literaturistoj, artistoj						
Akanto	Botanio	Acanthus	Suda dorna vegetaĵo						
Akapari			Aĉeti kiel eble plej grandan kvanton de komercaĵo, por plialtigi la prezon kaj vendi kare						
Akaparo			Ago de tiu, kiu akaparas						
Akaro	Zoologio	Acarina	Parazita insekto el la vico de l'araknoidoj						
Akceli			Plirapidigi kaj samtempe helpi, sukcesigi	La aliĝo de famaj scienculoj forte akcelis la progreson de Esperanto					
Akcelo			Ago de tiu, kiu akcelas						
Akcento			Plilaŭtigo, plifortigo de la voĉo sur unu silabo de la vorto	La Francoj, parolante esperante, ofte metas la akcenton sur la lasta silabo					
Akcenti			Meti la akcenton						
Akcepti			Konsenti preni tion, kion oni donas, proponas	Ne estas ĝentile ne akcepti donacon					
Akcepti			Esti hejme por la vizitantoj	Sinjorino N. akceptas ĉiun mardon					
Akcepti			Aprobi, konsenti	La propono estis akceptita per aklamo					
Akcepto			Ago de tiu, kiu akceptas						
Akceptebla			Kiu povas esti akceptita	neakceptebla propono					
Akcepti	Komparu			ricevi					
Akcesora			Akompananta la ĉefan aferon; flanka, ne ĉefa						
Akcesoraĵo			Afero, objekto akcesora						
Akcio			Atesto pri partopreno en kompanio komerca aŭ industria	La kurso de la akcioj falas dum milito					
Akciulo			Posedanto de akcio	Oni aranĝas ĉiujare kunvenon de la akciuloj por decidi la plej gravajn aferojn de la kompanio					
Akcidento			Okazo malfeliĉa, malagrabla kaj neatendita	fervoja akcidento	laboristo, vundita de akcidento				
Akcidenta			Hazarda kaj malfeliĉa, malagrabla						
Akcipitro	Zoologio	Astur	Rabobirdo el la familio de l'falkoj						
Akcizo			Imposto de la manĝaĵoj, alkoholaĵoj, k. t. p.						
Akiri			Fariĝi posedanto per batalo, laboro, aĉeto k. t. p.						
Akiro			Ago de tiu, kiu akiras						
Akiro			Objekto, afero akirita	Eksterminte la malamikojn, la taĉmento revenis kun riĉa akiro					
Akirebla			Kiu povas esti akirita						
Aklami			Saluti per laŭtaj krioj						
Aklami			Elekti iun, akcepti proponon sen diskutado, unuvoĉe						
Aklamo			Ago de tiu, kiu aklamas						
Akno			Patologia ruĝa makuleto de la haŭto						
Akolito			Preĝeja servisto, helpanta pastron dum la diservo						
Akompani			Iri kun iu, esti kun iu	Mi akompanos vin al la stacidomo					
Akompani	Muziko		Kunludi						
Akompana			Ago de tiu, kiu akompanas						
Akomponanto			Persono, kiu akompanas						
Akonito	Botanio	Aconitum napellus	Venena medicina vegetaĵo el la familio de l'ranunkulacoj						
Akordo			Samtempa harmonia sonado de kelke da tonoj						
Akordo			Reciproka konformeco harmonia, adapteco	akordo de la adjektivo kun la substantivo					
Akorda			Harmonia, konforma al io, adaptita al io						
Akordigi			Fari ion akorda						
Akordiĝi			Fariĝi akorda	La predikato akordiĝas kun la subjekto					
Akordigebla			Kiu povas esti akordigita						
Akra			Havanta tre maldikan tranĉan randon	akra tranĉilo	akra glavo	akra tondilo			
Akra			Kies lateroj (flankoj), kuniĝas je malgranda angulo	akra rando					
Akra			Kiu forte ekscitas la sentojn	akra manĝaĵo	akra malvarmo	akra koloro	akra sono	akra voĉo	akra odoro
Akra			Severa, neĝentila	akraj vortoj					
Akreco			Eco de tio, kio estas akra						
Akrigi			Fari ion akra	akrigi tranĉilon					
Akrigilo			Ŝtono, objekto por akrigado						
Akra	Komparu			Akuta					
Akrido	Zoologio	Pachytylus migratorius, acrididae	Insekto, detruanta la grenojn						
Akrobato			Cirka gimnastika artisto						
Akso			Reala aŭ imagata rekta linio, ĉirkaŭ kiu turniĝas korpo	akso de la tera globo	akso de rado				
Akso			Centra linio	akso de floro	akso de vojo				
Akselo	Anatomio		Kavo sub la artiko de la ŝultro kaj brako						
Aksiomo			Vero senduba, ne bezonanta pruvon	Du nombroj, kiuj egalas trian, egalas unu la alian					
Akto			Parto de dramo, de komedio	Aktoj estas dividataj en scenojn					
Akto			Oficiala dokumento, atestanta fakton	akto pri la naskiĝo					
Aktivo			Formo de la transitivaj verboj, esprimanta agon	La patro amas la filon, la filo estas amata de la patro; 'amas' estas formo de l' aktivo, 'amata' de l' pasivo					
Aktivo			Positiva parto de propraĵo	La kompanio ne bankrotis, kvankam ĝiaj pasivoj preskaŭ egalis la aktivojn					
